event_datetime,event
2024-02-23T17:20:00Z,Start time for wave 16 W4 KS of race KORTE SKATE
2024-02-23T17:21:20Z,Median lap time for wave 08 U20 F KC of race KORTE CLASSIC
2024-02-23T17:25:00Z,Start time for wave 17 W5 KS of race KORTE SKATE
2024-02-23T17:26:30Z,Median lap time for wave 10 W1 KS of race KORTE SKATE
2024-02-23T17:30:20Z,Median lap time for wave 09 W1 KC of race KORTE CLASSIC
2024-02-23T17:44:30Z,Median lap time for wave 11 W70 KS of race KORTE SKATE
2024-02-23T17:48:10Z,Median lap time for wave 14 W2 KS of race KORTE SKATE
2024-02-23T17:57:20Z,Median lap time for wave 13 W2 KC of race KORTE CLASSIC
2024-02-23T17:59:10Z,Median lap time for wave 12 W70 KC of race KORTE CLASSIC
2024-02-23T18:06:40Z,Median lap time for wave 15 W3 KS of race KORTE SKATE
2024-02-23T18:19:40Z,Median lap time for wave 18 W3 KC of race KORTE CLASSIC
2024-02-23T18:19:50Z,Median lap time for wave 17 W5 KS of race KORTE SKATE
2024-02-23T18:24:30Z,Median lap time for wave 16 W4 KS of race KORTE SKATE
2024-02-23T18:27:20Z,Median lap time for wave 19 W4 KC of race KORTE CLASSIC
2024-02-23T19:15:00Z,Start time for wave 20 U20 M PH of race PRINCE HAAKON
2024-02-23T19:20:00Z,Start time for wave 21 U20 F PH of race PRINCE HAAKON
2024-02-23T19:25:00Z,Start time for wave 22 W1 PH of race PRINCE HAAKON
2024-02-23T20:03:15Z,Median lap time for wave 20 U20 M PH of race PRINCE HAAKON
2024-02-23T20:12:20Z,Median lap time for wave 21 U20 F PH of race PRINCE HAAKON
2024-02-23T20:47:40Z,Median lap time for wave 22 W1 PH of race PRINCE HAAKON
2024-02-24T14:15:00Z,Start time for wave 01 W35 of race BIRKIE SKATE
2024-02-24T14:30:00Z,Start time for wave 02 ELITE F of race BIRKIE SKATE
2024-02-24T14:50:00Z,Start time for wave 03 ELITE M of race BIRKIE SKATE
2024-02-24T14:55:00Z,Start time for wave 04 W1 of race BIRKIE SKATE
2024-02-24T15:04:00Z,Median lap time for wave 02 ELITE F of race BIRKIE SKATE
2024-02-24T15:05:00Z,Start time for wave 05 W2 of race BIRKIE SKATE
2024-02-24T15:10:00Z,Start time for wave 06 W70 of race BIRKIE SKATE
2024-02-24T15:14:50Z,Median lap time for wave 01 W35 of race BIRKIE SKATE
2024-02-24T15:20:00Z,Start time for wave 07 W3 of race BIRKIE SKATE
2024-02-24T15:20:10Z,Median lap time for wave 03 ELITE M of race BIRKIE SKATE
2024-02-24T15:30:00Z,Start time for wave 08 W4 of race BIRKIE SKATE
2024-02-24T15:30:50Z,Median lap time for wave 04 W1 of race BIRKIE SKATE
2024-02-24T15:40:00Z,Start time for wave 09 W5 of race BIRKIE SKATE
2024-02-24T15:43:40Z,Median lap time for wave 05 W2 of race BIRKIE SKATE
2024-02-24T15:50:00Z,Start time for wave 10 W6 of race BIRKIE SKATE
2024-02-24T15:55:00Z,Start time for wave 11 W7 of race BIRKIE SKATE
2024-02-24T16:00:00Z,Start time for wave 12 W8 of race BIRKIE SKATE
2024-02-24T16:01:50Z,Median lap time for wave 07 W3 of race BIRKIE SKATE
2024-02-24T16:05:00Z,Start time for wave 13 W9 of race BIRKIE SKATE
2024-02-24T16:08:25Z,Median lap time for wave 06 W70 of race BIRKIE SKATE
2024-02-24T16:10:00Z,Start time for wave 14 W10 of race BIRKIE SKATE
2024-02-24T16:15:00Z,Median lap time for wave 08 W4 of race BIRKIE SKATE
2024-02-24T16:30:00Z,Median lap time for wave 09 W5 of race BIRKIE SKATE
2024-02-24T16:48:00Z,Median lap time for wave 10 W6 of race BIRKIE SKATE
2024-02-24T16:53:40Z,Median lap time for wave 11 W7 of race BIRKIE SKATE
2024-02-24T16:55:20Z,Median lap time for wave 12 W8 of race BIRKIE SKATE
2024-02-24T16:55:25Z,Median lap time for wave 13 W9 of race BIRKIE SKATE
2024-02-24T16:56:40Z,Median lap time for wave 14 W10 of race BIRKIE SKATE
2024-02-25T14:15:00Z,Start time for wave 00 W35 of race BIRKIE CLASSIC
2024-02-25T14:35:00Z,Start time for wave 01 ELITE F of race BIRKIE CLASSIC
2024-02-25T14:35:00Z,Start time for wave 02 ELITE M of race BIRKIE CLASSIC
2024-02-25T14:40:00Z,Start time for wave 03 W1 of race BIRKIE CLASSIC
2024-02-25T15:00:00Z,Start time for wave 04 W2 of race BIRKIE CLASSIC
2024-02-25T15:10:00Z,Start time for wave 05 W70 of race BIRKIE CLASSIC
2024-02-25T15:12:30Z,Median lap time for wave 02 ELITE M of race BIRKIE CLASSIC
2024-02-25T15:15:00Z,Start time for wave 06 W3 of race BIRKIE CLASSIC
2024-02-25T15:16:50Z,Median lap time for wave 01 ELITE F of race BIRKIE CLASSIC
2024-02-25T15:19:30Z,Median lap time for wave 00 W35 of race BIRKIE CLASSIC
2024-02-25T15:24:10Z,Median lap time for wave 03 W1 of race BIRKIE CLASSIC
2024-02-25T15:25:00Z,Start time for wave 07 W4 of race BIRKIE CLASSIC
2024-02-25T15:35:00Z,Start time for wave 08 W5 of race BIRKIE CLASSIC
2024-02-25T15:45:00Z,Start time for wave 09 W6 of race BIRKIE CLASSIC
2024-02-25T15:50:00Z,Median lap time for wave 04 W2 of race BIRKIE CLASSIC
2024-02-25T16:13:20Z,Median lap time for wave 06 W3 of race BIRKIE CLASSIC
2024-02-25T16:21:20Z,Median lap time for wave 05 W70 of race BIRKIE CLASSIC
2024-02-25T16:31:50Z,Median lap time for wave 07 W4 of race BIRKIE CLASSIC
2024-02-25T16:47:20Z,Median lap time for wave 08 W5 of race BIRKIE CLASSIC
2024-02-25T16:51:40Z,Median lap time for wave 09 W6 of race BIRKIE CLASSIC
